Emp_id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
6233790,sanofi,sanofi.com,,pharmaceuticals,10001+,"paris, île-de-france, france",france,linkedin.com/company/sanofi,38533,99940
1279232,bnp paribas,bnpparibas.com,1848,banking,10001+,"paris, île-de-france, france",france,linkedin.com/company/bnp-paribas,37835,101571
1712673,sodexo,sodexo.com,1966,facilities services,10001+,,,linkedin.com/company/sodexo,37611,86557
4474110,deutsche bank,db.com,1870,investment banking,10001+,"frankfurt, hessen, germany",germany,linkedin.com/company/deutsche-bank,37595,118832
3515714,tencent,tencent.com,1998,internet,10001+,"shenzhen, guangdong, china",china,linkedin.com/company/tencent,37574,42617
2769600,j.p. morgan,jpmorgan.com,,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/j-p-morgan,37431,98722
900902,verizon,verizon.com,1983,information technology and services,10001+,"basking ridge, new jersey, united states",united states,linkedin.com/company/verizon,37368,85643
323766,l'oréal,loreal.com,,cosmetics,10001+,"paris, île-de-france, france",france,linkedin.com/company/loreal,37319,107296
5827698,kpmg,kpmg.com,1987,accounting,10001+,"montvale, new jersey, united states",united states,linkedin.com/company/kpmg,36853,111980
5626776,orange,orange.com,1988,telecommunications,10001+,"paris, île-de-france, france",france,linkedin.com/company/orange,36340,92180
3621470,linkedin,linkedin.com,2003,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622
6821034,barclays,barclays.com,,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/barclays-bank,36200,105849
3372569,facebook,facebook.com,2004,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059
